mig_abs_nearest, mig_abs_ot
 0.906,  1.961
 7.626,  7.679
 2.145,  2.341
 1.032,  1.237
 1.584,  1.719
 2.023,  2.075
 2.729,  3.176
 1.882,  2.163
 2.229,  2.611
 0.456,  1.306
 1.402,  1.732
 3.116,  3.442
 1.150,  1.503
 0.632,  0.738
 1.747,  2.060
 0.575,  0.740
 1.202,  1.484
 0.656,  0.918
 1.561,  1.724
 0.666,  0.732
 0.775,  1.351
 1.028,  1.409
 0.424,  0.490
 2.084,  2.240
 1.052,  1.394
 1.963,  2.081
 1.793,  1.863
 1.441,  1.507
 1.106,  1.337
 0.520,  0.540
 2.092,  3.288
 0.764,  0.927
 1.499,  1.475
 1.880,  1.989
 1.038,  1.076
 0.841,  0.991
 1.288,  1.625
 0.903,  1.014
 1.203,  1.286
 0.950,  1.029
 0.988,  1.180
 0.527,  0.571
 0.677,  0.728
 1.159,  1.231
 0.955,  1.054
 1.077,  1.115
 0.945,  1.161
 0.916,  1.056
 1.121,  1.370
 0.886,  0.949
 2.138,  3.036
 0.855,  0.950
 0.773,  0.997
 1.067,  1.190
 0.870,  1.105
 0.862,  0.927
 0.807,  0.893
 0.481,  0.613
 2.622,  3.086
 0.777,  0.896
 0.832,  0.956
 1.272,  1.448
 1.185,  1.338
 0.495,  0.534
 0.702,  0.779
 2.673,  2.996
 1.363,  1.535
 1.151,  1.359
 0.806,  1.415
 1.732,  1.841
 1.562,  1.751
 0.695,  0.792
 1.105,  1.183
 0.875,  0.953
 2.637,  2.945
 3.768,  4.300
 2.704,  2.736
 3.713,  3.712
 3.117,  3.152
 1.795,  1.947
 3.401,  3.555
 3.139,  3.264
 1.438,  1.799
 1.408,  1.497
 1.418,  1.829
 4.377,  4.829
 1.435,  1.522
 2.288,  2.436
 1.073,  1.520
 2.354,  2.809
 1.499,  1.716
 1.575,  1.670
 1.456,  1.591
 5.181,  5.268
 2.982,  3.242
 1.846,  2.035
 2.092,  2.173
 6.111,  6.576
 2.314,  2.189
 2.056,  2.171
 2.967,  3.188
 0.604,  0.756
 1.447,  1.524
 4.581,  5.067
 2.145,  2.186
 3.125,  3.305
 3.870,  4.131
 2.849,  2.950
 0.898,  0.976
 1.249,  1.409
 1.480,  1.835
 1.400,  1.496
 1.643,  1.763
 1.272,  1.460
 1.729,  1.942
 2.642,  2.649
 1.261,  1.314
 1.297,  1.335
 2.501,  2.572
 1.487,  1.588
 2.830,  3.087
 1.119,  1.393
 3.116,  3.485
 3.527,  3.546
 1.007,  1.064
 1.075,  1.114
 1.164,  1.244
 1.187,  1.238
 4.925,  5.033
 1.295,  1.323
 1.787,  1.847
 2.594,  2.690
 2.876,  3.173
 2.381,  2.507
 1.230,  1.343
 0.944,  1.194
 5.592,  5.758
 2.425,  2.449
 0.993,  1.266
 2.188,  2.389
 2.842,  2.908
 2.927,  3.268
 1.805,  1.777
 0.910,  1.293
 2.241,  2.347
 2.051,  2.180
 0.494,  1.286
 1.300,  1.572
