size_diff, size_an4, num_faces_an4
 1.153, 73.130, 11.000
 5.800, 56.596, 13.000
-3.158, 75.940, 11.000
 0.342, 110.306, 19.000
 1.385, 163.669, 26.000
-4.638, 85.643, 11.000
-13.142, 35.008,  8.000
-0.215, 75.642, 12.000
-0.109, 49.101, 12.000
-2.564, 82.756, 11.000
-12.775, 60.037,  6.000
-1.865, 107.738,  8.000
-0.396, 118.317, 14.000
-6.667, 59.192,  8.000
-18.204, 35.983,  7.000
 0.758, 86.327, 14.000
69.842, 15.013,  3.000
 5.709, 44.262, 10.000
-1.013, 109.665, 19.000
 1.469, 91.983, 16.000
-0.475, 87.326, 14.000
-1.150, 21.079,  3.000
-6.117, 42.652,  6.000
-0.796, 73.145, 15.000
 0.402, 12.056,  2.000
-1.625, 44.355, 10.000
 2.943, 26.813,  4.000
75.642, 12.836,  3.000
-0.140, 17.049,  3.000
-2.225, 106.239, 17.000
 1.134, 98.550, 15.000
 1.158, 103.256, 13.000
 1.108, 104.775, 16.000
88.118, 13.420,  3.000
 2.804, 105.328, 14.000
-8.341, 54.731,  8.000
-4.855, 50.348, 10.000
-6.767, 46.678,  6.000
-9.392, 84.701, 14.000
-9.194, 44.087,  6.000
-9.353, 45.149,  7.000
-7.532, 39.527,  9.000
-18.869, 35.269,  8.000
-0.821, 98.100, 12.000
-0.706, 77.774, 14.000
 5.167, 48.346, 12.000
 1.665, 112.734, 18.000
 0.498, 93.912, 15.000
 3.502, 27.993,  4.000
 0.676, 108.732, 19.000
-22.103, 36.061,  7.000
 2.272, 94.466, 17.000
 2.789, 134.651, 31.000
-119.915, 131.688, 16.000
-0.998, 67.277,  8.000
 0.117, 97.252, 17.000
 0.857, 149.212, 16.000
-0.864, 105.996, 16.000
-10.560, 64.830, 11.000
 0.733, 96.740, 16.000
-7.318, 44.548,  5.000
-3.600, 53.181,  8.000
-4.537, 94.060, 16.000
-13.353, 61.743, 12.000
-2.606, 50.012,  7.000
-10.425, 43.263,  7.000
-5.519, 42.574,  6.000
-7.357, 52.663,  7.000
51.937, 12.327,  3.000
-3.844, 82.134, 13.000
-11.210, 46.990,  4.000
-0.122, 103.031, 11.000
 2.347, 13.748,  4.000
 0.368, 111.240, 20.000
-6.950, 20.804,  4.000
 2.579, 165.032, 33.000
-11.411, 44.619,  9.000
 3.052, 166.983, 25.000
