gsize_diff_an4,gf_diff_an4,f_fnn_diff_an4,fnnf_maxadec_l_m_r,dist_centroid_diff_l_an4
21.759,     7, 6.892,-3084.320,-0.010
42.739,    17,23.867,-3231.182, 0.001
 8.268,    10,17.600,-4135.215,-0.005
12.005,     9,13.564,-3155.213, 0.210
10.723,     8, 8.117,-797.195, 0.058
-54.690,   -10,-8.833,94.714,-0.375
-16.283,     4, 6.637,-4097.280,-0.219
-15.349,     0,-3.692,2519.495,-0.312
-33.907,   -11,-13.554,3387.855,-0.016
 7.001,    -1,-0.560,-515.808, 0.594
 3.139,    -2,-6.579,838.884, 0.092
-1.952,     1, 0.487,3514.090, 0.107
-1.066,    -2,-4.246,-454.951,-0.218
-19.626,   -12,-15.646,-12.357, 0.028
 2.051,    -4,-8.376,153.367, 0.020
-28.672,   -12,-13.206,6299.299, 0.012
-56.810,   -18,-23.136,322.823,-0.427
 1.557,     3, 2.354,292.491, 0.215
19.920,     6, 7.000,-2287.943, 0.049
 4.843,     1, 5.250,-2240.090, 0.135
19.450,     4, 5.778,-2288.887, 0.559
11.963,     3, 5.883,-56.998, 0.181
-101.857,   -37,-41.309,16346.208,-0.558
20.002,     7, 7.758,-61.430, 0.286
-82.399,   -38,-41.433,1750.803,-0.475
20.012,     4, 0.770,1391.810, 0.094
-13.647,    -4,-5.393,1418.035,-0.013
-33.531,    -8,-4.084,1724.577,-0.160
29.308,     4,-1.139,732.716, 0.187
-62.879,   -17,-23.898,6867.835,-0.440
-36.755,    -4,-9.288,6841.609,-0.375
39.676,     8, 5.133,743.341, 0.011
-21.509,     5, 1.333,16319.983, 0.021
15.152,     5, 3.933,-61.430,-0.024
26.052,     5, 0.633,1754.558, 0.017
-41.025,    -8,-6.000,-666.514, 0.021
43.038,    11, 6.000,-4456.271,-0.029
40.484,     6, 6.500,-3473.413,-0.016
-25.704,    -9,-12.332,-369.620,-0.030
-11.883,    -5,-6.700,-335.934,-0.576
-125.318,   -80,-87.222,485.483,-0.052
-7.047,    -4,-4.914,-402.234,-0.072
 4.317,     2, 3.300,-227.180,-0.340
-32.005,   -14,-16.492,-176.456,-0.153
-5.504,    -3,-4.700,-154.706,-0.070
42.206,    11,15.984,2525.818,-0.109
62.618,    12,26.056,-183.006, 0.425
-3.644,    -7,-5.644,-316.507,-0.091
17.473,    -3,-3.492,-136.458, 0.028
-92.732,   -26,-31.626,12579.099, 0.005
-68.806,   -27,-30.956,12409.999,-0.001
-8.915,    -4,-8.490,4235.961,-0.058
 0.178,     2,-0.632,6392.095, 0.187
-67.546,   -20,-25.392,7423.712,-0.267
37.850,     8,12.456,-161.374, 0.129
 6.144,     1, 5.732,-16.213,-0.006
60.961,    10,23.067,-3175.966, 0.832
36.672,     4, 6.921,-4949.498, 0.448
 3.343,   -11,-10.726,-4619.775, 0.031
 5.424,    -5,-7.485,-5691.989, 0.074
27.364,     2, 7.550,-5853.267, 0.023
10.858,     1, 9.659,-5772.871, 0.248
-51.506,    -6,-10.667,3598.493,-0.550
-23.323,     0,-5.000,3186.206,-0.035
-52.797,    -3,-4.667,3350.442,-0.651
-92.414,   -23,-23.906,5170.304,-0.435
-70.432,   -21,-24.767,2603.880,-0.602
-61.266,   -11,-13.250,5203.911,-0.497
35.087,     5,-4.246,2356.664,-0.050
-15.323,    -2,-0.420,381.460, 0.099
-154.949,   -81,-91.220,11668.432,-0.066
52.845,     6, 0.893,-1095.729,-0.055
-29.533,   -19,-29.539,1142.041,-0.046
59.902,    10, 6.893,-1303.271, 0.056
-3.347,    -5,-11.778,-926.044,-0.049
15.664,    -4,-8.802,-989.431,-0.012
22.684,    -4,-13.857,311.943,-0.066
-3.084,   -20,-29.916,653.754, 0.067
-60.180,   -21,-26.157,-911.609, 0.065
42.314,    13,22.753,-111.695,-0.003
72.964,    17,17.464,-283.612, 0.012
36.077,    12, 4.164,192.042,-0.058
33.131,     6,-3.261,192.042,-0.015
-84.571,   -36,-44.671,28823.407,-0.013
-56.338,    -3,-5.176,14443.319, 0.019
15.398,     8, 6.364,2216.872,-0.006
-151.868,   -73,-82.000,26744.182,-0.024
72.604,    18,13.114,-2490.058, 0.854
31.740,     8, 7.864,1203.841,-0.075
 8.650,     0,-0.318,-2151.850, 0.364
12.084,     2,-2.636,-27.022,-0.042
-7.621,     4, 0.364,14443.319, 0.037
13.780,     1,-6.755,-2116.950, 0.009
 1.683,     0,-1.818,335.190, 0.023
10.671,     8, 2.364,4185.485,-0.037
-57.332,   -24,-31.397,6374.843, 0.023
-122.818,   -50,-57.345,8615.724,-0.012
69.583,    17,22.664,214.397, 0.017
25.730,     9,11.721,-250.072,-0.001
-17.764,    -6,-3.008,-3829.230, 0.007
-39.368,   -12,-10.495,-3808.136, 0.004
14.204,     0,-0.412,-786.111,-0.019
18.695,     5, 5.804,186.487, 0.020
31.283,     8,12.359,-1160.563,-0.016
-8.090,    -4,-0.958,-3829.230, 0.026
18.562,     2, 3.804,-781.445, 0.273
-12.782,    -1, 5.693,-3796.935, 0.015
42.962,     9,10.721,-781.445, 0.034
31.300,     9,14.596,177.270, 0.018
-34.360,   -12,-13.722,4084.111,-0.743
-66.398,   -30,-32.305,4084.111,-0.016
15.985,     0, 3.167,-1452.558, 0.333
-112.123,   -79,-88.795,4724.689,-0.033
-2.839,    -7,-11.662,988.491, 0.023
17.816,     4,-1.701,-879.348, 0.012
25.714,     5,-0.273,-967.633,-0.095
-0.231,    -2,-3.350,-783.875, 0.024
-56.980,   -15,-19.773,2473.725,-0.050
22.514,     4, 9.156,-445.900,-0.101
-9.697,     5, 4.718,6480.584,-0.116
 3.038,     2,-0.446,928.360, 0.119
33.438,    13,10.623,211.957, 0.563
-15.425,     3, 5.414,233.126,-0.018
-103.036,   -71,-74.733,30.316,-0.493
-8.210,     1, 4.789,-39.216,-0.106
-7.637,     0, 4.263,-389.342,-0.086
24.075,    12,22.789,-0.512, 0.377
-41.252,   -15,-20.181,3891.589,-0.207
19.794,    10, 8.234,-30.676, 0.369
-59.292,   -15,-18.269,3206.263,-0.491
 6.070,     7,11.539,12.975,-0.190
18.239,     6, 7.866,30.316, 0.206
-5.082,     3, 5.164,-739.242,-0.302
11.254,    11,21.664,171.191,-0.019
24.541,    14,16.589,1184.339, 0.211
25.368,    10,15.456,-637.734, 0.444
18.379,    19,20.720,-2149.688,-0.032
43.949,    27,29.907,-215.104, 0.031
50.461,    27,31.032,-508.430, 0.448
