,A_an4,fMs_an4,avg_FabsavgH_an4,C_an4,CnnC_an4,A_diff,fMs_diff,avg_FabsavgH_diff,C_diff,CnnC_diff,nnG_favg_diff,nnG_fmax_diff,da_len_w_an4_l,da_len_w_an4_r,da_len_w_an4_opp,da_len_w_diff_l,da_len_w_diff_r,da_len_w_diff_opp,rfvect_disttwin_an4
320,235.363,8.262,0.035,5.0,-1.5,-21.955,-4.775,0.217,0.0,-1.3,-0.714,-5.0,120.306,115.136,122.059,4.029,5.477,-15.545,0.289
321,996.129,35.025,0.035,6.0,-0.5,25.389,-6.954,-0.274,2.0,1.643,-2.375,-9.0,128.126,117.311,107.141,-13.272,16.7,8.649,0.286
322,312.666,13.287,0.042,3.0,-2.833,-28.453,-3.329,0.117,0.0,-0.667,-1.2,-5.0,121.903,115.769,103.219,23.405,43.796,-5.812,0.351
323,1244.295,44.811,0.036,3.0,-4.167,-95.209,-15.252,0.16,4.0,4.881,-2.0,-5.0,126.945,115.882,111.609,-9.845,9.03,4.36,0.336
324,580.034,21.992,0.038,4.0,-1.625,-14.6,4.248,-0.291,5.0,5.208,-1.667,-5.0,110.563,128.082,121.355,2.874,-13.025,6.737,0.254
325,763.223,18.122,0.024,5.0,-1.2,-68.657,-2.89,0.042,2.0,0.6,-1.429,-5.0,136.172,144.997,88.074,-3.019,-4.091,0.425,0.274
326,1402.816,44.914,0.032,5.0,-1.6,19.729,-4.725,-0.239,4.0,4.975,-1.429,-5.0,134.122,100.455,133.631,-10.13,-4.233,7.336,0.003
327,206.393,13.112,0.064,4.0,-1.375,-75.769,-5.961,0.079,-1.0,-2.792,-1.167,-5.0,130.412,131.284,98.065,11.683,-36.439,2.798,0.281
328,82.593,6.006,0.073,5.0,-4.0,-34.983,14.414,-0.412,0.0,-1.5,-5.571,-19.0,134.243,138.357,118.303,-4.773,-34.53,8.399,0.335
329,1032.502,39.882,0.039,8.0,-1.25,99.068,2.639,0.027,-3.0,-0.25,-5.667,-19.0,126.919,112.048,121.033,-0.629,-3.871,4.5,0.385
330,87.266,4.462,0.051,9.0,-0.7,-71.043,-4.462,0.063,-5.0,-1.175,-5.571,-19.0,126.127,121.568,114.555,11.854,7.595,-21.699,0.353
331,1504.241,65.407,0.043,5.0,-4.333,-196.686,-23.437,0.119,2.0,5.619,-3.0,-8.0,133.621,80.107,145.307,-4.647,10.204,-4.592,0.001
332,201.719,18.96,0.094,6.0,-6.375,-3.486,-4.723,1.355,-1.0,3.25,-6.5,-19.0,103.327,96.293,160.38,27.737,24.079,-54.154,0.231
333,648.045,43.03,0.066,9.0,1.75,-68.656,-22.258,0.324,-1.0,-0.083,-3.125,-9.0,103.132,131.921,107.005,9.233,-2.355,11.065,0.354
334,62.649,8.554,0.137,9.0,2.333,-37.196,0.735,-0.02,-6.0,-6.333,-1.625,-6.0,124.151,120.486,126.355,-28.995,30.319,-12.316,0.275
335,281.639,20.725,0.074,8.0,-0.6,-30.795,12.271,-0.398,-4.0,-3.775,-5.429,-9.0,102.465,142.032,100.283,3.817,-10.371,21.774,0.125
336,896.25,40.346,0.045,10.0,1.75,-630.895,1.475,-0.002,-4.0,-2.45,-4.0,-9.0,131.75,112.884,121.275,8.821,7.952,-18.895,0.348
337,2235.517,71.161,0.032,9.0,0.2,93.918,33.18,0.353,-1.0,0.3,-3.857,-9.0,109.313,105.087,149.389,-3.296,11.542,-12.557,0.001
338,73.829,4.863,0.066,5.0,-2.2,76.24,7.881,0.103,2.0,1.8,-1.143,-6.0,133.7,95.245,141.761,2.009,0.886,-13.6,0.34
339,239.943,24.278,0.101,6.0,-2.0,74.058,-10.847,-0.146,0.0,0.583,-2.857,-9.0,123.592,141.191,103.167,-1.111,-27.316,17.859,0.42
340,183.134,9.398,0.051,6.0,-0.417,-64.935,-5.258,0.081,-3.0,-5.083,-0.875,-9.0,136.048,118.956,125.256,-32.234,-18.214,30.189,0.114
341,5950.606,188.918,0.032,9.0,2.944,236.959,-4.91,-0.021,6.0,5.863,-0.091,-3.0,111.433,118.238,133.774,-11.64,4.606,-3.515,0.001
342,698.733,20.204,0.029,8.0,2.312,-113.139,8.097,-0.072,-3.0,-5.938,-0.5,-3.0,115.253,126.582,107.237,6.873,-16.708,19.097,0.173
343,697.014,49.205,0.071,4.0,-3.625,-52.093,-10.5,0.202,1.0,3.825,0.167,1.0,104.984,113.373,135.335,18.54,24.311,-3.73,0.001
344,3090.933,105.622,0.034,5.0,-1.5,298.346,-4.52,-0.015,7.0,6.773,-0.5,-2.0,115.701,123.898,117.694,4.262,-3.126,-4.645,0.198
345,301.484,16.739,0.056,3.0,-3.667,-112.972,-6.106,0.054,1.0,-0.833,0.2,1.0,105.994,127.025,126.981,0.715,14.403,-4.75,0.361
346,405.81,20.975,0.052,5.0,-1.3,-207.959,-10.514,0.051,0.0,-2.2,-0.286,-3.0,119.691,129.974,105.104,-4.822,-4.563,8.685,0.271
347,517.849,40.589,0.078,6.0,-0.5,4.057,-12.841,-3.166,0.0,-0.167,-0.125,-3.0,143.478,129.481,120.573,-18.335,-9.322,-12.228,0.238
348,527.477,47.404,0.09,5.0,-2.25,-244.787,-34.89,0.143,-1.0,-0.375,-0.333,-3.0,125.876,118.316,110.209,-17.278,7.405,15.472,0.343
349,16.864,0.0,0.0,4.0,-2.25,4.109,8.491,2.066,-1.0,-2.083,-0.333,-2.0,137.67,95.313,126.999,-26.974,35.335,-8.344,0.099
350,908.771,66.059,0.073,9.0,3.312,22.845,-28.789,-1.26,-1.0,-1.5,-0.4,-3.0,125.536,106.232,128.233,-8.038,17.893,-9.855,0.398
351,504.636,13.748,0.027,6.0,-0.833,153.355,22.011,0.144,-1.0,1.033,-0.25,-3.0,140.138,118.014,123.279,-2.638,-20.156,1.363,0.373
352,3563.092,199.271,0.056,3.0,-2.833,54.796,-115.129,-2.101,5.0,3.271,-0.6,-3.0,104.026,107.064,129.061,9.526,15.094,-7.815,0.289
353,324.049,21.641,0.067,5.0,-0.8,-41.93,5.675,-0.135,-1.0,-0.325,-0.429,-3.0,137.161,138.788,114.318,-14.152,-5.996,10.94,0.4
354,1396.14,38.162,0.027,4.0,-4.0,-502.134,-1.243,0.002,3.0,5.143,0.0,-3.0,132.358,120.516,104.016,-10.185,12.709,7.147,0.261
355,521.949,19.293,0.037,4.0,-2.5,-210.164,-4.83,0.023,-3.0,-7.75,0.167,1.0,117.898,124.766,117.336,1.195,-25.984,-17.187,0.314
