gsize_diff_an4 ,gf_diff_an4, g_itgcurv_diff_an4, face_itgcurv_an4_left, face_area_an4_m_an5, fnnf_maxdec_r_m_l, fnnf_avgdec_r_m_l, move_left
 1.677,  4.000, -25.369, -14.219, -41.048, 203.409, -15.960,      1
63.239, 23.000, 226.845, 28.021, -153.749, -509.670, -255.230,     -1
57.095, 28.000, 259.028, 49.638, 58.999, -172.932, -334.826,     -1
 8.737,  6.000, -89.984,  1.240, -150.116, -718.150, -279.901,      1
 7.241,  5.000, -91.609, -20.510, -83.964, -210.347, -42.184,      0
20.832,  6.000, 259.471, 45.107, -46.785, 132.074, -17.830,      1
35.693, 20.000, 138.258, 79.110, 240.220, -1823.248, -617.978,      1
20.458, 11.000, 20.927, -1.945, 11.955, -229.349, -99.413,      1
-10.234,  0.000, 42.175, -16.388, -2.024, -110.140, -81.006,     -1
42.883, 11.000, 292.052, -5.675, -126.782, -1582.432, -584.758,      1
 5.907,  4.000, 18.025,  4.238, -0.596, -793.604, -371.889,     -1
 0.180, -2.000, 86.254, -7.108, -49.269, 12.894, -9.754,      1
16.238,  7.000, 135.133, -3.148, -211.662, 25.954, -6.285,      1
23.822,  5.000, 107.551,  4.479, -106.155, 99.612, -63.885,      1
19.364,  1.000, 53.531, -1.046, -37.344, 98.834, 221.102,     -1
59.632, 23.000, 123.769, -3.594, 130.917, 79.741, 322.515,      1
51.005, 11.000, 57.977, 24.848, 398.218, 570.156, 381.728,      1
41.501, 15.000, 288.513, -8.930, 102.380, 570.156, 411.003,      0
88.162, 34.000, 854.479,  2.780, 64.564, 79.741, 378.534,      1
95.651, 35.000, 842.542, 85.322, 568.942, 389.408, 369.325,      1
-32.973, -9.000, -287.119, -5.758, -1.326, 340.958, 290.646,     -1
-15.668, -5.000, -554.187,  6.974, -334.271, 143.570, 116.001,     -1
-10.705, -2.000, -240.434,  1.881, -136.973, 612.672, 182.896,      1
-12.358, -2.000, 193.213, -2.153, 30.155, 213.258, 156.611,      1
-40.176, -1.000, -317.880, 21.880, 56.262, 3861.799, 106.033,     -1
-23.019,  0.000, 36.439, 10.872, 257.554, 83.188, 124.916,      1
47.365, 21.000, 130.786,  0.870, -43.380, -109.045, -90.639,     -1
10.878,  8.000, -7.910,  0.000, -113.391, -1296.491, -1296.491,     -1
 1.946,  3.000, -162.512, -16.952, -103.633, -2.242, -247.679,     -1
-31.450,  1.000, 300.503,  0.471, 19.214, -146.342, -581.723,     -1
-8.930,  1.000, -76.832, -2.680, -25.434, 872.549, 489.678,     -1
101.868, 77.000, 1145.667,  4.675, 238.232, -1637.658, -574.798,      1
40.355, 22.000, 165.582, 61.298, 621.793, -1442.481, -667.495,      1
166.141, 49.000, 2132.007, -4.739, -778.120, -1091.937, 948.622,      1
90.743, 31.000, 1039.729, -43.056, -123.092, 516.478, 646.568,      1
-1.825,  0.000, -361.397, 28.925, 877.304, -1347.448, -460.222,     -1
166.103, 72.000, 3846.497, -2.500, -573.749, -1442.481, -223.800,      1
-28.298, -10.000, -309.699,  5.606, 39.148, 801.385, 314.525,     -1
50.303, 26.000, 560.869, 25.525, -11.631, -1116.145, -274.695,      1
-2.699, -10.000, -114.830,  9.622, 41.127, 3685.209, 1861.575,      1
-21.911, -8.000, -166.801, -0.388, 202.646, 2681.784, 1120.695,      1
-13.892, -12.000, 74.065, 28.208, 1130.539, 3685.209, 1220.070,      1
-51.258, -21.000, -358.486, -51.877, 408.260, 3671.468, 1552.066,      1
73.718, 62.000, 1060.478, 177.106, 3815.765, -490.295, 202.441,     -1
-49.501, -21.000, -280.017, -17.601, 395.207, 3667.075, 1184.294,      1
62.593, 16.000, 954.540,  1.102,  8.314, 2199.821, 584.844,      1
-52.288, -19.000, -258.067, -9.785, 373.481, 2942.812, 649.521,     -1
137.954, 57.000, 3761.308, 42.558, -853.439, 1495.981, 361.395,      0
 5.955, -4.000, 325.306, -4.121, 89.936, 3302.033, 1391.829,      1
13.022,  0.000, -114.259,  1.255, -8.786, -79.268, 294.061,      1
40.205, 10.000, 186.277, -7.226,  8.259, 41.543, 68.744,      1
124.640, 38.000, 1145.604, 11.493, 88.098, 179.472, 444.316,      1
24.611,  5.000, -150.418,  1.179, 73.772, 64.257, 333.827,      1
68.001, 18.000, 516.371,  4.587, 110.380, 19.262, 168.812,      1
10.947,  1.000, -42.715, 21.872, 10.890, -79.268, 56.640,      1
75.428, 21.000, 649.531, -1.776, 53.985, -180.479, -56.923,      0
-3.360, -7.000, 18.632,  0.000, -14.022, -4.315, -33.803,      0
-21.759, -7.000, -176.507,  9.526, -110.294, 71.533, 128.795,      0
-42.739, -17.000, 66.355, -1.912, -133.487, 218.395, 255.504,      0
-8.268, -10.000, -161.130,  7.042, 60.009,  1.344, 29.651,      0
