move_left ,gV_diff_an4, gF_diff_an4 ,gFnnF_diff_an4, gMs_diff_an4, fMs_an4_left, FnnF_A_maxdec, FnnF_A_avgdec, FnnF_fMs_maxdec, FnnF_fMs_avgdec
     1, 39.163, 13.000, 23.293, 410.612,  8.366, 304.924, 152.677, 26.816, 22.936 
     0, 35.729, 11.000, 25.611, 258.103, -21.783, 12.367, 26.723, 28.307, 50.619 
     1, 34.032, 12.000, 29.730, -29.872, 33.608, 240.929, 224.791, 177.754, 101.164 
     1, 10.787,  3.000,  4.195, 49.934, -20.264, 46.662, -76.904, 216.493, 16.190 
    -1, -14.600, -4.000, -12.377, 127.082, -2.806, 370.956, 219.483, 190.580, 93.844 
     1, 91.636, 43.000, 49.465, 1290.874, 68.704, 307.416, 76.641, 226.550, 32.790 
     1, 111.718, 39.000, 41.149, 1646.581, 124.390, -81.677, 197.516, 134.860, 161.355 
     1, 10.360, -2.000, -1.535, 189.449, 50.103, 64.537, 764.261, 195.928, 318.228 
     1, 13.157,  5.000,  7.909, 216.017, 26.173, 293.459, 255.865, 163.031, -40.048 
     1, 33.286,  1.000,  4.576, 296.652, -0.924, 239.129, 940.621, 185.918, 114.845 
     1, 35.671, 18.000, 21.323, 370.072, -23.822, 188.511, 34.635, 148.132, 114.649 
    -1, -11.737, -5.000, -8.424, 27.657, -33.332, 303.996, 197.262, 144.916, 38.847 
     1, 11.736,  5.000, 11.222, 314.482, -6.859, 339.677, 206.343, -52.598, -105.704 
     1, -4.498, -12.000, -10.144, -279.919, 34.131, -105.522, 10.633, -464.874, -56.964 
    -1, -31.978, -14.000, -11.762, -179.375,  0.466, 116.593,  9.412, 1084.406, 387.382 
    -1, -58.553, -24.000, -20.867, -595.750, -50.653, -20.998, -97.855, 38.477, 44.869 
     1, -3.568,  2.000,  3.394, -504.842, -79.440, -3000.793, -495.266, -244.071, 14.876 
    -1, -56.708, -23.000, -31.271, -535.438, -14.790, -506.915, -74.828, -14.320, -59.418 
     0, -12.460, -3.000, -2.107, 515.673, 12.157, -56.345, -22.142, -107.663, -13.932 
    -1, -67.117, -24.000, -36.200, -485.241, -7.715, 62.289, -24.807, 27.503, 66.464 
     1, -0.855, -5.000, -4.500, -77.783, -19.962, 155.393, 42.143, 550.995, 128.581 
     1, 88.234, 14.000, 21.482, 1271.481, -3.644, -142.753, 182.292, 25.386, 401.225 
     1, -6.569, -8.000, -6.291, -290.515, -31.574, -31.711, -51.272, 80.203, -1.600 
    -1, -64.873, -21.000, -20.811, -448.853,  0.383, -197.315, -161.831, 1020.686, 173.289 
