da_len_w_an4_l, da_len_w_an4_r, da_len_w_an4_opp, da_num_w_an4_l, da_num_w_an4_r, da_num_w_an4_opp, A_an4, fMs_an4, avg_FabsavgH_an4, C_an4, CnnC_an4, da_len_w_diff_l, da_len_w_diff_r, da_len_w_diff_opp, da_num_w_diff_l, da_num_w_diff_r, da_num_w_diff_opp, A_diff, fMs_diff, avg_FabsavgH_diff, C_diff, CnnC_diff
102.866, 125.174, 135.053, 98.600, 126.041, 135.359, 1338.510, 66.405,  0.050,  5.000, -2.900,  0.717, -6.156,  2.346,  8.253, -19.127, 10.873, -662.711, -26.916,  0.041, -3.000, -2.600
126.965, 136.742, 101.501, 125.499, 129.137, 105.364, 20.755,  0.000,  0.000,  7.000, -0.375,  0.214,  9.262, -14.683,  2.064, 17.287, -19.351, -6.158,  0.729, -0.118, -5.000, -7.125
141.573, 114.334, 100.669, 133.093, 110.080, 116.827, 378.755, 27.658,  0.073,  4.000, -1.375,  1.781, -34.211, 38.705,  7.537, -30.725, 23.188, -352.900, -24.225,  0.069, -1.000, -2.625
111.892, 139.141, 108.967, 113.904, 128.782, 117.314, 1430.496, 81.817,  0.057,  3.000, -3.833,  9.486, 11.088, -20.574, 18.605, 19.047, -37.652, 958.755, 88.083,  0.092, -1.000, -2.667
126.068, 128.622, 105.310, 120.920, 136.842, 102.238, 672.658, 16.297,  0.024,  9.000,  2.833, -28.252, 11.019, 17.233, -7.202,  3.783,  3.419, -34.818, -4.231,  0.122, -2.000, -2.233
104.204, 137.645, 118.151, 104.352, 137.417, 118.231, 131.447,  4.313,  0.033,  9.000,  3.000, -26.756, -11.017, 37.772, -39.562, -0.107, 39.669, -24.249, -0.865,  0.036, -6.000, -3.833
106.213, 114.271, 139.516, 101.441, 106.643, 151.916, 66.557, 23.179,  0.348,  4.000, -3.750,  2.709, -12.511,  9.802, 17.434, -6.178, -11.256, -54.757, -15.611,  0.285, -1.000, -0.583
107.476, 118.820, 134.860, 114.207, 116.513, 129.280, 560.245, 30.352,  0.054, 10.000,  3.000, -20.708, 28.909, -16.466, -7.146, 32.957, -25.811, -171.630, -23.302,  0.136, -6.000, -4.250
107.217, 127.704, 125.078, 100.915, 124.933, 134.152, 193.014, 21.087,  0.109,  4.000, -1.625, 14.542,  6.719, -1.950, 14.598,  7.319, -21.917, -116.185, -14.291,  0.123,  0.000,  0.250
83.863, 136.078, 140.141, 80.762, 150.202, 129.036, 803.362, 26.778,  0.033,  9.000,  1.929, -32.064, 25.876,  1.478, -22.775, 14.136,  8.639, -268.939, -15.607,  0.058, -4.000, -2.629
102.855, 127.844, 126.007, 107.525, 132.275, 120.200, 208.250,  9.457,  0.045,  5.000, -1.800, -1.785, -27.258, 32.337,  1.598, -28.339, 26.742, -104.421,  3.645, -0.035,  0.000,  2.300
104.162, 123.189, 129.909, 104.237, 126.104, 129.659, 120.800,  3.699,  0.031,  9.000,  1.786, 23.886, -16.601, -4.544, 23.864, -19.704, -4.159, -77.960,  1.191, -0.015, -6.000, -7.619
106.381, 142.364, 111.892, 107.774, 138.082, 114.144,  9.487,  0.000,  0.000,  6.000,  0.000,  6.445, -18.027, 10.944,  8.163, -19.584, 11.420, 13.504,  4.573,  0.339, -3.000, -4.500
121.228, 102.598, 123.846, 123.468, 107.495, 129.037, 569.305, 105.627,  0.186,  6.000,  0.333,  2.049, 16.455, -1.848, -5.430,  9.652, -4.222, 31.522, -71.622, -2.272,  0.000, -1.750
124.888, 99.331, 140.952, 122.481, 99.152, 138.367, 966.594, 242.149,  0.251,  6.000, -1.800, 40.425, -54.974, 16.184, 41.011, -56.002, 14.991, -422.750, -234.474,  0.555, -1.000,  0.425
125.469, 119.054, 120.103, 127.052, 120.154, 112.794, 672.189, 19.244,  0.029, 13.000,  7.591, -3.778, -6.462,  1.375, -3.070, -2.444,  5.515, -48.488, -9.247,  0.191, -7.000, -8.174
132.196, 132.263, 100.881, 129.488, 121.095, 109.417, 434.693, 46.971,  0.108,  7.000,  0.500, -0.412, -15.335,  5.752,  4.052, -0.099, -3.952, -22.498, -42.375,  1.883, -2.000, -1.800
120.288, 127.094, 108.465, 125.099, 127.944, 106.957, 571.748, 29.936,  0.052, 10.000,  2.857,  7.510, -1.230, -0.255,  8.133, -0.435, -7.698, 33.896, -18.011, -0.531, -1.000,  0.143
104.896, 134.846, 115.012, 105.840, 135.917, 118.244, 640.624, 43.700,  0.068,  1.000, -7.000,  3.881, -8.569, 13.000, -0.435, -6.940,  7.374, 187.636, -23.925, -0.128,  7.000,  8.750
111.138, 125.696, 131.973, 103.133, 119.968, 136.900, 522.398, 36.069,  0.069,  5.000, -2.000,  6.687, -7.251, -8.244, 16.253, -5.088, -11.165, -127.234, -10.117,  0.080,  0.000,  0.100
136.883, 137.850, 85.267, 136.817, 137.904, 85.279, 167.908, 10.866,  0.065,  4.000, -3.375, -2.837,  6.105, -1.304, -3.513,  5.811, -2.298,  8.672, -8.572, -0.988,  0.000, -0.458
89.057, 110.358, 155.550, 89.164, 110.944, 159.891, 443.412, 13.039,  0.029,  5.000, -0.700, 39.796, 18.226, -46.333, 36.702, 17.352, -54.054, 83.952,  2.975,  0.035,  0.000, -1.500
92.421, 134.173, 135.879, 107.242, 119.522, 133.237, 1255.769, 79.953,  0.064,  6.000, -0.600, 16.441, -23.674, -1.103,  5.659, -6.612,  0.953, 114.865, 78.238,  0.681,  3.000,  3.725
90.375, 156.812, 132.392, 80.586, 155.234, 124.180, 45.564,  7.333,  0.161,  5.000, -1.200, 19.933, -32.124, -3.211, 19.740, -18.768, -0.971, -0.262, -4.915, 18.763, -1.000, -2.967
127.207, 152.350, 97.280, 118.788, 143.725, 97.487, 14.882,  1.795,  0.121,  6.000, -0.667,  0.850, -37.887, 33.992,  8.512, -36.158, 27.646, 46.136, 13.711,  0.297, -2.000, -3.000
125.361, 127.911, 112.777, 127.311, 128.963, 103.726, 1133.480, 165.157,  0.146,  5.000, -1.875,  2.277, -16.598,  6.921,  2.567, -16.764, 14.197, -63.989, -154.835,  2.420,  4.000,  5.232
90.751, 115.767, 134.290, 89.695, 125.108, 145.197, 2407.067, 290.246,  0.121,  7.000,  0.857, -7.191, 13.924,  0.275,  0.108,  5.329, -5.437, -58.598, -253.118,  4.320,  4.000,  3.830
